Q1 - Fixed initialization in val_test02
   - Fixed indexing and delete->free in val_test01

Q2 - Results are almost twice as fast for blocked version with BLOCK_SIZE=64
OpenMP has similar performance as blocked version. Even though my cache is 320KB in my system, 
I am not sure why 64*64*8 = 32KB of data works the best. One possibility is that I am using WSL and only 32KB cache is allocated.
Results with Blocked and OpenMP is almost 5 times as fast.

Results for Vanilla version
Dimension       Time    Gflop/s       GB/s        Error
        64   0.083600  23.925332  47.850665 0.000000e+00
       128   0.105507  18.962565  37.925130 0.000000e+00
       192   0.100929  19.916173  39.832345 0.000000e+00
       256   0.114823  17.533599  35.067199 0.000000e+00
       320   0.141623  14.345198  28.690395 0.000000e+00
       384   0.130951  15.566424  31.132848 0.000000e+00
       448   0.140082  15.405038  30.810077 0.000000e+00
       512   0.146508  14.657755  29.315509 0.000000e+00
       576   0.170318  13.464406  26.928813 0.000000e+00
       640   0.162855  12.877447  25.754894 0.000000e+00
       704   0.153956  13.597901  27.195803 0.000000e+00
       768   0.224251  12.119967  24.239933 0.000000e+00
       832   0.440495   5.229847  10.459695 0.000000e+00
       896   0.394836   7.287310  14.574620 0.000000e+00
       960   0.380738   9.294951  18.589902 0.000000e+00
      1024   0.262869   8.169398  16.338795 0.000000e+00
      1088   0.321944   8.000843  16.001687 0.000000e+00
      1152   0.400721   7.630366  15.260731 0.000000e+00
      1216   0.504498   7.128058  14.256116 0.000000e+00
      1280   0.628948   6.668765  13.337530 0.000000e+00
      1344   0.732865   6.625271  13.250541 0.000000e+00
      1408   0.885965   6.301171  12.602342 0.000000e+00
      1472   1.596782   3.994917   7.989835 0.000000e+00
      1536   1.824631   3.972177   7.944355 0.000000e+00
      1600   1.434353   5.711287  11.422573 0.000000e+00
      1664   1.637052   5.628950  11.257899 0.000000e+00
      1728   2.093687   4.928894   9.857789 0.000000e+00
      1792   2.408970   4.777632   9.555264 0.000000e+00
      1856   2.763521   4.627017   9.254035 0.000000e+00
      1920   3.103228   4.561629   9.123258 0.000000e+00
      1984   3.373960   4.629297   9.258594 0.000000e+00

Results for Blocked version at BLOCK_SIZE=64 (got the best results) //Implemented
Dimension       Time    Gflop/s       GB/s        Error
        64   0.098159  20.376717  40.753435 0.000000e+00
       128   0.134822  14.839388  29.678777 0.000000e+00
       192   0.100178  20.065442  40.130883 0.000000e+00
       256   0.161281  12.482951  24.965902 0.000000e+00
       320   0.107927  18.823927  37.647854 0.000000e+00
       384   0.153866  13.248085  26.496170 0.000000e+00
       448   0.135794  15.891536  31.783072 0.000000e+00
       512   0.185653  11.567190  23.134380 0.000000e+00
       576   0.130619  17.556701  35.113403 0.000000e+00
       640   0.166412  12.602186  25.204373 0.000000e+00
       704   0.121923  17.170533  34.341065 0.000000e+00
       768   0.219454  12.384859  24.769718 0.000000e+00
       832   0.154013  14.957921  29.915841 0.000000e+00
       896   0.225736  12.746257  25.492513 0.000000e+00
       960   0.206734  17.118384  34.236768 0.000000e+00
      1024   0.189634  11.324347  22.648693 0.000000e+00
      1088   0.154252  16.698873  33.397745 0.000000e+00
      1152   0.239699  12.756196  25.512391 0.000000e+00
      1216   0.215184  16.711669  33.423338 0.000000e+00
      1280   0.336716  12.456503  24.913007 0.000000e+00
      1344   0.284549  17.063597  34.127194 0.000000e+00
      1408   0.436471  12.790359  25.580717 0.000000e+00
      1472   0.377915  16.879484  33.758967 0.000000e+00
      1536   0.620464  11.681186  23.362373 0.000000e+00
      1600   0.492885  16.620495  33.240989 0.000000e+00
      1664   1.102786   8.356002  16.712005 0.000000e+00
      1728   0.694209  14.865206  29.730412 0.000000e+00
      1792   1.204455   9.555499  19.110998 0.000000e+00
      1856   0.921104  13.882096  27.764193 0.000000e+00
      1920   1.326880  10.668465  21.336931 0.000000e+00
      1984   1.491844  10.469637  20.939273 0.000000e+00

Results with OpenMP //Implemented
Dimension       Time    Gflop/s       GB/s        Error
